https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNT,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1751389200000,2025-07-01 17:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751385600000,2025-07-01 16:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751382000000,2025-07-01 15:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751378400000,2025-07-01 14:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751374800000,2025-07-01 13:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751371200000,2025-07-01 12:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751367600000,2025-07-01 11:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751364000000,2025-07-01 10:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751360400000,2025-07-01 09:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751356800000,2025-07-01 08:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751353200000,2025-07-01 07:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751349600000,2025-07-01 06:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751346000000,2025-07-01 05:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751342400000,2025-07-01 04:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
1751338800000,2025-07-01 03:00:00,BNT/USDT,0.58,0.58,0.58,0.58,0,0,0,0,0,0.58
