https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRPBULL,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1751328000000,2025-07-01 00:00:00,XRPBULL/USDT,0.00000323,0.00000323,0.00000323,0.00000323,0,0,0,0,0,0.00000323
1751241600000,2025-06-30 00:00:00,XRPBULL/USDT,0.00000323,0.00000323,0.00000323,0.00000323,0,0,0,0,0,0.00000323
1751155200000,2025-06-29 00:00:00,XRPBULL/USDT,0.00000323,0.00000323,0.00000323,0.00000323,0,0,0,0,0,0.00000323
1751068800000,2025-06-28 00:00:00,XRPBULL/USDT,0.00000323,0.00000323,0.00000323,0.00000323,0,0,0,0,0,0.00000323
1750982400000,2025-06-27 00:00:00,XRPBULL/USDT,0.00000323,0.00000323,0.00000323,0.00000323,0,0,0,0,0,0.00000323
1750896000000,2025-06-26 00:00:00,XRPBULL/USDT,0.00000323,0.00000323,0.00000323,0.00000323,0,0,0,0,0,0.00000323
1750809600000,2025-06-25 00:00:00,XRPBULL/USDT,0.00000323,0.00000323,0.00000323,0.00000323,0,0,0,0,0,0.00000323
1750723200000,2025-06-24 00:00:00,XRPBULL/USDT,0.00000323,0.00000323,0.00000323,0.00000323,0,0,0,0,0,0.00000323
1750636800000,2025-06-23 00:00:00,XRPBULL/USDT,0.00000323,0.00000323,0.00000323,0.00000323,0,0,0,0,0,0.00000323
1750550400000,2025-06-22 00:00:00,XRPBULL/USDT,0.00000323,0.00000323,0.00000323,0.00000323,0,0,0,0,0,0.00000323
1750464000000,2025-06-21 00:00:00,XRPBULL/USDT,0.00000323,0.00000323,0.00000323,0.00000323,0,0,0,0,0,0.00000323
1750377600000,2025-06-20 00:00:00,XRPBULL/USDT,0.00000323,0.00000323,0.00000323,0.00000323,0,0,0,0,0,0.00000323
1750291200000,2025-06-19 00:00:00,XRPBULL/USDT,0.00000323,0.00000323,0.00000323,0.00000323,0,0,0,0,0,0.00000323
1750204800000,2025-06-18 00:00:00,XRPBULL/USDT,0.00000323,0.00000323,0.00000323,0.00000323,0,0,0,0,0,0.00000323
1750118400000,2025-06-17 00:00:00,XRPBULL/USDT,0.00000323,0.00000323,0.00000323,0.00000323,0,0,0,0,0,0.00000323
1750032000000,2025-06-16 00:00:00,XRPBULL/USDT,0.00000323,0.00000323,0.00000323,0.00000323,0,0,0,0,0,0.00000323
1749945600000,2025-06-15 00:00:00,XRPBULL/USDT,0.00000323,0.00000323,0.00000323,0.00000323,0,0,0,0,0,0.00000323
1749859200000,2025-06-14 00:00:00,XRPBULL/USDT,0.00000323,0.00000323,0.00000323,0.00000323,0,0,0,0,0,0.00000323
1749772800000,2025-06-13 00:00:00,XRPBULL/USDT,0.00000323,0.00000323,0.00000323,0.00000323,0,0,0,0,0,0.00000323
1749686400000,2025-06-12 00:00:00,XRPBULL/USDT,0.00000323,0.00000323,0.00000323,0.00000323,0,0,0,0,0,0.00000323
1749600000000,2025-06-11 00:00:00,XRPBULL/USDT,0.00000323,0.00000323,0.00000323,0.00000323,0,0,0,0,0,0.00000323
1749513600000,2025-06-10 00:00:00,XRPBULL/USDT,0.00000323,0.00000323,0.00000323,0.00000323,0,0,0,0,0,0.00000323
1749427200000,2025-06-09 00:00:00,XRPBULL/USDT,0.00000323,0.00000323,0.00000323,0.00000323,0,0,0,0,0,0.00000323
1749340800000,2025-06-08 00:00:00,XRPBULL/USDT,0.00000323,0.00000323,0.00000323,0.00000323,0,0,0,0,0,0.00000323
1749254400000,2025-06-07 00:00:00,XRPBULL/USDT,0.00000323,0.00000323,0.00000323,0.00000323,0,0,0,0,0,0.00000323
1749168000000,2025-06-06 00:00:00,XRPBULL/USDT,0.00000323,0.00000323,0.00000323,0.00000323,0,0,0,0,0,0.00000323
1749081600000,2025-06-05 00:00:00,XRPBULL/USDT,0.00000323,0.00000323,0.00000323,0.00000323,0,0,0,0,0,0.00000323
1748995200000,2025-06-04 00:00:00,XRPBULL/USDT,0.00000323,0.00000323,0.00000323,0.00000323,0,0,0,0,0,0.00000323
1748908800000,2025-06-03 00:00:00,XRPBULL/USDT,0.00000323,0.00000323,0.00000323,0.00000323,0,0,0,0,0,0.00000323
1748822400000,2025-06-02 00:00:00,XRPBULL/USDT,0.00000323,0.00000323,0.00000323,0.00000323,0,0,0,0,0,0.00000323
1748736000000,2025-06-01 00:00:00,XRPBULL/USDT,0.00000323,0.00000323,0.00000323,0.00000323,0,0,0,0,0,0.00000323
1748649600000,2025-05-31 00:00:00,XRPBULL/USDT,0.00000323,0.00000323,0.00000323,0.00000323,0,0,0,0,0,0.00000323
1748563200000,2025-05-30 00:00:00,XRPBULL/USDT,0.00000323,0.00000323,0.00000323,0.00000323,0,0,0,0,0,0.00000323
1748476800000,2025-05-29 00:00:00,XRPBULL/USDT,0.00000323,0.00000323,0.00000323,0.00000323,0,0,0,0,0,0.00000323
1748390400000,2025-05-28 00:00:00,XRPBULL/USDT,0.00000323,0.00000323,0.00000323,0.00000323,0,0,0,0,0,0.00000323
1748304000000,2025-05-27 00:00:00,XRPBULL/USDT,0.00000323,0.00000323,0.00000323,0.00000323,0,0,0,0,0,0.00000323
1748217600000,2025-05-26 00:00:00,XRPBULL/USDT,0.00000323,0.00000323,0.00000323,0.00000323,0,0,0,0,0,0.00000323
1748131200000,2025-05-25 00:00:00,XRPBULL/USDT,0.00000323,0.00000323,0.00000323,0.00000323,0,0,0,0,0,0.00000323
1748044800000,2025-05-24 00:00:00,XRPBULL/USDT,0.00000323,0.00000323,0.00000323,0.00000323,0,0,0,0,0,0.00000323
1747958400000,2025-05-23 00:00:00,XRPBULL/USDT,0.00000323,0.00000323,0.00000323,0.00000323,0,0,0,0,0,0.00000323
1747872000000,2025-05-22 00:00:00,XRPBULL/USDT,0.00000323,0.00000323,0.00000323,0.00000323,0,0,0,0,0,0.00000323
1747785600000,2025-05-21 00:00:00,XRPBULL/USDT,0.00000323,0.00000323,0.00000323,0.00000323,0,0,0,0,0,0.00000323
